"date","state","sector","mode","installed_capacity"
"21-12-2023","Andaman & Nicobar Islands","STATE SECTOR","Thermal","57.52"
"21-12-2023","Andaman & Nicobar Islands","STATE SECTOR","Nuclear","NA"
"21-12-2023","Andaman & Nicobar Islands","STATE SECTOR","Hydro","NA"
"21-12-2023","Andaman & Nicobar Islands","STATE SECTOR","RES","5.25"
"21-12-2023","Andaman & Nicobar Islands","PVT SECTOR","Thermal","35.19"
"21-12-2023","Andaman & Nicobar Islands","PVT SECTOR","Nuclear","NA"
"21-12-2023","Andaman & Nicobar Islands","PVT SECTOR","Hydro","NA"
"21-12-2023","Andaman & Nicobar Islands","PVT SECTOR","RES","24.81"
"21-12-2023","Andaman & Nicobar Islands","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Andaman & Nicobar Islands","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Andaman & Nicobar Islands","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Andaman & Nicobar Islands","CENTRAL SECTOR","RES","5.1"
"21-12-2023","Andhra Pradesh","STATE SECTOR","Thermal","6045.4"
"21-12-2023","Andhra Pradesh","STATE SECTOR","Nuclear","NA"
"21-12-2023","Andhra Pradesh","STATE SECTOR","Hydro","1610"
"21-12-2023","Andhra Pradesh","STATE SECTOR","RES","57.376"
"21-12-2023","Andhra Pradesh","PVT SECTOR","Thermal","9279.944"
"21-12-2023","Andhra Pradesh","PVT SECTOR","Nuclear","NA"
"21-12-2023","Andhra Pradesh","PVT SECTOR","Hydro","NA"
"21-12-2023","Andhra Pradesh","PVT SECTOR","RES","9081.97"
"21-12-2023","Andhra Pradesh","CENTRAL SECTOR","Thermal","2000"
"21-12-2023","Andhra Pradesh","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Andhra Pradesh","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Andhra Pradesh","CENTRAL SECTOR","RES","250"
"21-12-2023","Arunachal Pradesh","STATE SECTOR","Thermal","NA"
"21-12-2023","Arunachal Pradesh","STATE SECTOR","Nuclear","NA"
"21-12-2023","Arunachal Pradesh","STATE SECTOR","Hydro","NA"
"21-12-2023","Arunachal Pradesh","STATE SECTOR","RES","109.1051"
"21-12-2023","Arunachal Pradesh","PVT SECTOR","Thermal","NA"
"21-12-2023","Arunachal Pradesh","PVT SECTOR","Nuclear","NA"
"21-12-2023","Arunachal Pradesh","PVT SECTOR","Hydro","NA"
"21-12-2023","Arunachal Pradesh","PVT SECTOR","RES","35.79"
"21-12-2023","Arunachal Pradesh","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Arunachal Pradesh","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Arunachal Pradesh","CENTRAL SECTOR","Hydro","1115"
"21-12-2023","Arunachal Pradesh","CENTRAL SECTOR","RES","NA"
"21-12-2023","Assam","STATE SECTOR","Thermal","306.355"
"21-12-2023","Assam","STATE SECTOR","Nuclear","NA"
